-1.598391804691345897e-06,1.459679083382070530e-06,-4.293653546483255923e-06,1.216318196384236217e-06,6.345036905258893967e-03,-1.064928531646728516e+00,-1.550871506333351135e-02,-2.270563840866088867e+00,2.669757418334484100e-02,1.517493605613708496e+00,7.192675471305847168e-01,3.349551931023597717e-02,-3.338605910539627075e-02
-2.222237526439130306e-06,3.962858045269967988e-06,-4.994277333025820553e-06,1.281232016481226310e-05,-2.350155729800462723e-03,-1.147457480430603027e+00,2.341536805033683777e-02,-2.322157621383666992e+00,6.408296525478363037e-03,1.655745387077331543e+00,7.349140644073486328e-01,3.869594261050224304e-02,-3.869076818227767944e-02
-1.714415361675492022e-06,2.997192950715543702e-06,-4.694658400694606826e-06,1.521664671599864960e-05,-8.224547840654850006e-03,-1.268303155899047852e+00,7.389373332262039185e-02,-2.422603845596313477e+00,-1.837682910263538361e-02,1.836591958999633789e+00,7.727458477020263672e-01,3.901243209838867188e-02,-3.909326344728469849e-02
-1.164192099167848937e-06,1.190426814901002217e-06,-5.988114935462363064e-06,2.094838464472559281e-06,-8.035334758460521698e-03,-1.325012087821960449e+00,1.054649576544761658e-01,-2.496477603912353516e+00,-1.945586688816547394e-02,1.952557086944580078e+00,7.902996540069580078e-01,3.918457403779029846e-02,-3.929391130805015564e-02
-8.779210958209660021e-08,2.030268433372839354e-06,-4.508820438786642626e-06,1.496438585490977857e-06,-8.656883612275123596e-03,-1.380234718322753906e+00,1.171534806489944458e-01,-2.522383451461791992e+00,-3.250808268785476685e-02,2.067749977111816406e+00,8.200426697731018066e-01,3.931632637977600098e-02,-3.946164995431900024e-02
1.555403343900252366e-07,1.234932369698071852e-06,-4.668209840019699186e-06,1.972387337900727289e-07,-8.540114387869834900e-03,-1.429330468177795410e+00,1.071864962577819824e-01,-2.553911209106445312e+00,-2.892882004380226135e-02,2.195758104324340820e+00,8.612694740295410156e-01,3.943080827593803406e-02,-3.958777338266372681e-02
-6.130295560069498606e-07,-5.055906967754708603e-06,-3.966375516029074788e-06,-4.838781933358404785e-06,-1.164940465241670609e-02,-1.407828211784362793e+00,1.116917282342910767e-01,-2.590146064758300781e+00,-2.578176744282245636e-02,2.315189123153686523e+00,8.832125663757324219e-01,3.953576833009719849e-02,-3.967599943280220032e-02
-1.835879714917609817e-07,6.015222311361867469e-07,-1.632081534808094148e-06,5.367047833715332672e-06,-1.719487272202968597e-02,-1.371800541877746582e+00,1.074806675314903259e-01,-2.548609256744384766e+00,-1.890273019671440125e-02,2.342072725296020508e+00,9.148014187812805176e-01,3.961780294775962830e-02,-3.974916785955429077e-02
-4.272205273991858121e-07,5.937025662205996923e-07,-1.015937414194922894e-06,3.352876092321821488e-06,-2.314932085573673248e-02,-1.373227596282958984e+00,1.083100140094757080e-01,-2.527608156204223633e+00,-2.365385368466377258e-02,2.427394866943359375e+00,9.437013268470764160e-01,3.969649225473403931e-02,-3.979511186480522156e-02
-9.816710644372506067e-07,-2.263984129058371764e-07,-1.651662728363589849e-06,4.703311446974112187e-07,-3.149802610278129578e-02,-1.359080195426940918e+00,1.123953834176063538e-01,-2.497336387634277344e+00,-3.437853232026100159e-02,2.529634475708007812e+00,9.590529203414916992e-01,3.976412117481231689e-02,-3.982754424214363098e-02
